r	g	b
4	5	0
4	5	0
5	4	2
4	3	1
3	2	0
3	2	0
4	3	1
5	4	0
5	4	0
3	2	0
6	5	1
11	10	6
11	10	6
5	4	2
2	1	0
4	3	1
6	5	3
4	3	1
3	3	1
2	2	0
2	2	0
3	3	1
3	3	1
3	3	1
3	3	1
2	2	0
3	3	1
3	3	1
4	4	2
4	4	2
3	3	1
3	3	1
2	2	0
2	2	0
10	11	6
6	7	2
3	4	0
5	6	1
7	8	3
4	5	0
3	4	0
7	8	3
4	5	0
3	4	0
2	3	0
2	3	0
3	4	0
4	5	0
4	5	0
4	5	0
3	5	0
3	5	0
2	4	0
2	4	0
2	4	0
3	5	0
2	4	0
2	4	0
2	4	0
3	4	0
3	4	0
3	4	0
4	5	0
5	6	1
6	7	2
7	8	3
4	7	0
6	7	1
6	7	1
6	7	1
7	6	1
10	7	0
12	9	2
17	12	6
11	4	0
13	6	0
17	10	2
19	10	3
14	5	0
21	12	5
20	11	4
23	14	7
16	11	5
10	7	0
9	6	0
9	6	0
7	4	0
6	5	0
10	7	2
10	7	0
11	6	0
16	9	1
18	9	0
20	10	0
25	13	1
27	13	0
30	14	0
33	15	1
29	16	0
33	17	1
34	16	4
33	15	5
33	16	6
30	17	1
32	16	0
34	17	0
37	18	1
36	18	4
24	14	2
14	10	0
11	11	1
15	13	1
20	10	0
25	8	0
25	11	0
29	15	2
29	15	2
27	13	0
27	13	0
27	13	0
26	12	0
27	11	0
37	14	0
41	19	5
41	19	5
36	17	3
35	17	3
37	21	6
32	18	5
27	13	0
27	13	0
29	15	2
31	15	2
29	13	0
31	13	1
33	13	2
35	15	4
40	18	7
39	22	6
38	21	5
36	18	4
38	19	5
41	22	8
41	23	11
35	17	5
24	10	0
20	8	0
19	9	0
18	10	0
18	10	0
18	10	0
19	10	1
19	9	0
17	7	0
22	12	3
21	11	2
19	9	0
13	4	0
20	11	2
16	7	0
16	7	0
16	9	1
14	7	0
12	8	0
13	9	0
13	10	1
12	9	2
12	9	2
12	9	2
8	8	0
12	8	0
13	9	0
13	9	0
12	8	0
12	7	1
12	7	1
11	6	0
11	8	1
9	6	1
9	6	1
3	0	0
12	11	6
6	5	1
7	6	2
5	4	0
7	6	2
8	7	2
10	9	4
8	7	2
6	5	0
6	5	1
6	7	2
5	6	1
6	7	2
1	2	0
2	3	0
4	3	0
6	5	1
8	7	3
10	6	3
9	5	2
8	5	0
4	5	0
5	6	1
5	6	1
5	6	1
4	5	0
5	6	1
5	6	1
2	3	0
5	6	1
3	4	0
4	5	0
6	7	2
4	5	0
3	4	0
4	5	0
5	6	1
3	3	1
2	2	0
2	2	0
2	2	0
3	3	1
3	2	0
3	2	0
3	2	0
5	4	0
7	6	2
7	6	2
3	3	1
1	1	0
1	1	0
2	2	0
3	3	1
2	2	0
2	2	0
2	2	0
3	3	1
4	4	2
4	4	2
3	3	1
1	1	0
3	3	1
3	3	1
4	4	2
4	4	2
4	4	2
3	3	1
3	3	1
3	3	1
6	7	2
3	4	0
2	3	0
6	7	2
9	10	5
6	7	2
6	7	2
11	12	7
11	12	7
7	8	3
3	4	0
2	3	0
2	3	0
2	3	0
4	5	0
6	7	2
3	5	0
3	5	0
2	4	0
3	5	0
3	5	0
3	5	0
2	4	0
3	4	0
3	4	0
3	4	0
4	5	0
4	5	0
5	6	1
5	6	1
6	7	2
6	7	2
5	8	1
5	8	1
6	7	1
6	7	1
7	7	0
10	7	0
11	8	1
16	11	5
10	3	0
15	8	0
18	11	3
18	9	2
13	4	0
21	12	5
18	9	2
17	8	1
16	11	5
10	7	0
9	6	0
9	6	0
8	5	0
8	5	0
10	7	2
10	7	0
10	5	0
14	7	0
17	8	0
19	9	0
24	12	0
26	12	0
29	13	0
32	14	0
30	17	0
32	16	0
33	15	3
34	16	6
33	16	6
29	16	0
31	15	0
35	16	0
38	17	0
37	19	5
28	16	4
15	11	0
11	11	1
15	11	0
20	10	0
26	9	0
26	10	0
31	15	2
32	16	3
30	14	1
29	13	0
29	13	0
28	12	0
27	11	0
50	24	7
50	27	11
42	19	3
38	17	0
41	22	7
36	20	4
30	14	0
31	18	2
33	19	6
35	21	8
33	19	6
31	15	2
30	12	0
30	12	0
33	13	2
36	16	5
30	14	0
33	17	2
35	17	3
33	15	1
33	15	1
33	15	3
29	13	0
23	9	0
20	8	0
20	10	0
21	13	2
20	12	1
17	8	0
17	8	0
18	9	0
17	7	0
14	4	0
17	8	0
18	9	0
14	5	0
22	13	4
18	9	2
15	8	0
17	10	2
15	8	0
15	11	2
10	6	0
11	7	0
16	13	6
12	9	2
7	4	0
14	11	4
13	9	0
14	10	1
13	9	0
11	7	0
11	6	0
10	7	0
9	6	0
9	6	0
8	5	0
5	4	0
8	7	2
1	0	0
9	8	4
4	3	0
5	6	1
6	7	2
4	5	0
5	6	0
4	5	0
2	3	0
2	3	0
3	4	0
4	5	0
5	6	1
5	6	1
4	5	0
4	5	0
7	8	3
9	8	4
8	7	3
6	5	0
5	4	0
3	4	0
4	5	0
4	5	0
3	4	0
4	5	0
7	8	3
6	7	2
1	2	0
5	6	1
3	4	0
4	5	0
6	7	2
4	5	0
4	5	0
5	6	1
5	6	1
4	4	2
3	3	1
4	4	2
5	5	3
4	5	0
3	4	0
3	4	0
5	6	1
8	9	4
4	5	0
2	3	0
3	4	0
4	4	2
3	3	1
2	2	0
2	2	0
3	3	1
3	3	1
3	3	1
4	4	2
5	5	3
5	5	3
3	3	1
1	1	0
3	3	1
3	3	1
3	3	1
3	3	1
2	2	0
2	2	0
4	4	2
5	5	3
3	4	0
5	6	1
4	5	0
2	3	0
4	5	0
3	4	0
2	3	0
3	4	0
3	4	0
1	2	0
1	2	0
3	4	0
4	5	0
2	3	0
3	4	0
6	7	2
4	5	0
4	5	0
4	5	0
4	5	0
4	5	0
4	5	0
3	4	0
3	4	0
3	4	0
4	5	0
4	5	0
5	6	1
5	6	1
6	7	2
5	6	1
5	6	1
6	9	2
6	9	2
6	7	1
5	6	0
7	7	0
8	8	0
11	8	1
14	9	3
10	5	0
18	11	3
21	14	6
18	9	2
13	4	0
22	13	6
18	9	2
14	5	0
15	10	4
10	7	0
9	6	0
10	7	0
9	6	1
9	6	1
10	7	2
9	6	0
13	8	2
17	10	2
18	9	0
20	10	0
25	13	1
27	13	0
30	14	0
32	14	0
30	17	0
31	15	0
32	14	2
34	16	6
35	17	5
31	15	0
31	14	0
35	16	0
37	16	0
38	19	5
31	17	6
18	11	1
13	10	1
14	10	0
21	8	0
28	10	0
26	10	0
30	14	1
30	14	1
27	11	0
27	11	0
28	12	0
29	13	0
30	14	1
60	33	14
49	24	4
52	27	7
37	14	0
40	22	2
27	10	0
34	18	2
25	12	0
32	19	3
34	21	5
33	19	6
28	14	1
29	13	0
32	14	2
33	15	5
30	12	2
25	12	0
35	19	4
33	17	2
30	14	1
24	8	0
28	12	0
27	13	0
21	9	0
18	8	0
22	14	3
25	19	7
24	18	6
20	13	3
16	9	0
16	7	0
16	7	0
18	9	0
17	8	0
17	8	0
18	9	2
18	9	2
15	8	0
14	7	0
15	8	0
15	11	2
12	8	0
13	9	0
15	11	2
21	18	11
10	7	0
10	7	0
11	8	1
12	8	0
18	14	5
13	9	0
11	8	0
13	10	3
10	7	0
11	8	1
8	8	0
7	6	1
7	6	1
7	6	1
5	6	0
6	7	2
5	6	1
6	7	2
5	6	1
5	6	0
6	7	1
5	6	1
3	5	0
4	6	1
3	5	0
2	4	0
3	5	0
1	3	0
3	5	0
5	6	1
5	6	1
6	7	2
6	7	1
6	7	1
7	8	2
7	8	3
4	5	0
3	4	0
5	6	1
5	6	1
3	4	0
4	5	0
4	5	0
4	5	0
3	4	0
3	4	0
3	4	0
3	4	0
6	7	2
8	9	4
5	6	1
4	6	3
4	6	3
3	5	2
2	4	1
3	4	0
2	3	0
2	3	0
3	4	0
2	3	0
5	6	1
3	4	0
2	3	0
4	6	3
2	4	1
0	2	0
4	6	3
4	4	2
3	3	1
2	2	0
1	1	0
2	2	0
3	3	1
4	4	2
5	5	3
3	3	1
1	1	0
2	2	0
5	5	3
3	3	1
0	0	0
6	6	4
19	19	17
6	7	2
5	6	1
3	4	0
4	5	0
2	3	0
1	2	0
5	6	1
3	4	0
2	3	0
3	4	0
3	4	0
2	3	0
2	3	0
4	5	0
4	5	0
4	5	0
5	6	1
3	4	0
1	2	0
2	3	0
5	6	1
5	6	1
2	3	0
2	3	0
4	5	0
4	5	0
5	6	1
7	8	3
6	7	2
4	5	0
4	5	0
6	7	2
8	11	4
5	8	1
6	7	1
5	6	0
7	7	0
9	9	1
10	7	0
12	7	1
12	7	1
24	17	9
18	11	3
15	8	0
15	8	0
12	3	0
16	7	0
20	11	4
12	7	1
11	8	1
9	6	0
8	5	0
9	6	1
11	8	3
10	7	2
10	5	0
13	8	2
15	8	0
18	9	0
23	10	1
26	12	1
28	12	0
30	14	0
33	15	1
33	18	0
32	15	0
33	14	0
35	15	4
34	16	4
32	14	0
34	15	0
38	17	0
41	18	2
39	17	4
31	14	4
18	9	0
14	10	1
20	13	3
26	13	4
28	10	0
28	10	0
29	11	0
29	11	0
29	11	0
29	11	0
30	12	0
30	12	0
31	13	1
52	26	3
58	32	9
48	23	1
41	19	0
40	19	0
38	20	0
31	14	0
36	20	4
31	18	1
33	20	4
32	18	5
27	13	0
25	11	0
29	12	2
31	14	4
32	15	5
35	21	8
27	13	0
28	14	1
28	12	0
32	16	3
21	7	0
26	12	1
23	11	0
23	15	4
19	13	1
21	15	3
24	20	9
22	18	7
16	9	0
16	9	0
21	14	4
20	11	4
16	7	0
16	7	0
18	9	2
18	9	2
18	11	3
18	11	3
16	9	1
15	11	2
18	14	5
8	4	0
17	13	4
12	8	0
15	10	4
11	6	0
13	8	2
10	6	0
13	10	1
13	10	1
10	7	0
11	8	1
12	9	2
7	7	0
8	8	0
5	4	0
6	7	1
3	4	0
6	7	1
3	4	0
6	7	2
3	5	0
4	6	1
5	8	1
4	6	1
1	3	0
1	3	0
4	6	1
5	7	2
4	6	1
2	4	0
3	5	0
5	7	2
5	7	2
5	7	2
6	7	1
4	5	0
3	4	0
3	4	0
18	19	14
8	9	4
2	3	0
4	5	0
8	9	4
9	10	5
5	6	1
0	1	0
3	4	0
3	4	0
5	6	1
5	6	1
5	6	1
6	7	2
5	6	1
1	2	0
1	6	2
1	3	0
3	5	2
8	10	5
9	11	6
3	4	0
1	2	0
5	6	1
4	5	0
2	3	0
3	4	0
3	5	0
0	2	0
0	2	0
1	3	0
0	3	0
1	1	0
1	1	0
2	2	0
3	3	1
3	3	1
3	3	1
3	3	1
2	2	0
1	1	0
2	2	0
2	2	0
3	3	1
4	4	2
4	4	2
8	8	6
15	15	13
4	5	0
4	5	0
2	3	0
4	5	0
3	4	0
2	3	0
6	7	2
3	4	0
4	5	0
4	5	0
4	5	0
3	4	0
2	3	0
3	4	0
3	4	0
2	3	0
4	5	0
4	5	0
4	5	0
5	6	1
5	6	1
4	5	0
3	4	0
5	6	1
4	5	0
4	5	0
4	5	0
6	7	2
5	6	1
3	4	0
4	5	0
6	7	2
5	8	1
3	6	0
5	6	0
4	5	0
6	6	0
8	8	0
9	6	0
11	6	0
14	9	3
16	12	3
19	12	4
12	5	0
11	4	0
14	7	0
13	6	0
21	14	6
13	8	2
11	8	1
9	6	0
8	5	0
11	8	3
13	10	5
12	7	3
10	5	0
14	7	1
16	7	0
19	9	0
23	10	1
25	11	0
28	12	0
30	14	0
33	15	1
31	16	0
33	16	0
35	16	2
37	15	4
34	14	3
35	16	2
35	16	1
38	15	0
39	13	0
38	14	2
30	13	3
19	10	1
15	11	2
19	12	2
25	11	2
27	7	0
27	9	0
29	11	1
31	13	1
30	12	0
29	11	0
29	11	0
30	12	0
32	14	2
49	23	0
56	30	7
53	29	5
47	25	2
40	18	0
46	25	4
43	25	5
37	20	2
39	23	7
36	20	5
30	17	1
27	13	0
28	14	1
29	15	2
30	16	5
29	15	4
24	12	0
29	15	2
26	12	1
29	15	4
18	4	0
24	10	0
24	11	2
28	18	8
18	10	0
17	10	0
15	11	0
14	10	0
14	10	0
15	11	2
16	9	1
14	7	0
17	8	1
22	13	6
15	6	0
16	7	0
31	22	15
27	20	12
15	8	0
19	12	4
18	14	5
20	16	7
12	8	0
9	5	0
13	9	0
10	6	0
14	9	3
11	6	0
10	6	0
20	16	7
13	9	0
13	10	1
14	11	4
10	7	0
12	12	4
5	5	0
7	6	1
4	5	0
7	8	2
3	4	0
8	9	4
2	4	0
5	7	2
3	5	0
2	4	0
5	7	2
4	6	1
1	3	0
1	3	0
2	4	0
3	5	0
4	6	1
2	4	0
4	6	1
5	7	2
6	7	2
7	8	2
5	6	0
4	5	0
4	5	0
6	7	2
8	9	4
8	9	4
5	6	1
3	4	0
6	7	2
8	9	4
6	7	2
5	6	1
4	5	0
4	5	0
5	6	1
4	5	0
4	5	0
2	3	0
0	1	0
2	7	3
2	4	1
3	5	2
7	9	4
7	9	4
2	3	0
2	3	0
7	8	3
5	6	1
2	3	0
4	5	0
4	6	1
0	2	0
1	3	0
3	5	2
0	3	0
2	2	0
2	2	0
3	3	1
5	5	3
5	5	3
5	5	3
3	3	1
2	2	0
4	4	2
5	5	3
4	4	2
2	2	0
3	3	1
5	5	3
5	5	3
5	5	3
6	7	2
6	7	2
4	5	0
5	6	1
4	5	0
3	4	0
5	6	1
1	2	0
5	6	1
6	7	2
5	6	1
4	5	0
3	4	0
4	5	0
4	5	0
3	4	0
3	4	0
5	6	1
6	7	2
6	7	2
5	6	1
3	4	0
3	4	0
6	7	2
4	5	0
4	5	0
4	5	0
5	6	1
4	5	0
3	4	0
4	5	0
6	7	2
4	7	0
4	5	0
7	8	2
6	7	1
7	6	1
8	8	0
9	6	0
12	9	2
17	12	6
